NAME,JANUARY,FEBUARY,MARCH,APRIL,MAY,JUNE,JULY,AUGUST,SEPTEMBER,OCTOBER,NOVEMBER,DECEMBER,YEAR,CATEGORY,SUB_CATEGORY
Phone,73,73,73,73,73,73,73,73,73,70,75,,2024,EXPENSE,UTILITY
Phone,,,75,67,67,67,67,199,72.87,72.87,72.87,72.87,2023,EXPENSE,UTILITY
Phone,,,,,,,,,,,,,2022,EXPENSE,UTILITY
Phone,,,,,,,,,,,,,2021,EXPENSE,UTILITY
Refunds/Reimbursements,0,198,0,0,14,,,,160,483,129,,2024,INCOME,OTHER
Refunds/Reimbursements,,,1393,,,,114,,58.99,140,0,6,2023,INCOME,OTHER
Refunds/Reimbursements,,,1902,146,,,,21.42,885,187,200,,2022,INCOME,OTHER
Refunds/Reimbursements,,,,,,,,,,,,,2021,INCOME,OTHER
Rent,1027,1027.5,1078.5,1031,1037.51,1088,1068.245,1062.5,1068.5,1073.5,1075,1075,2023,EXPENSE,RENT
Rent,963.38,965.5,964,970.35,968.57,998.195,1030,1031.82,981.5,,1034.5,1030,2022,EXPENSE,RENT
Rent,,,,,,,359.5,,968,883,970,965.02,2021,EXPENSE,RENT
Rent,1070.5,1069,1069.5,1070.5,1077.5,1300.5,346.5,585.5,600,600,0,,2024,EXPENSE,RENT
Stock Purchase Plan,866,866,856,856,1275,850,848,848,848,848,1294,,2024,INCOME,EMPLOYEE_BENEFIT
Stock Purchase Plan,,,,,,,806,837.7,806,,,,2023,INCOME,EMPLOYEE_BENEFIT
Transfer From Savings,,,,,,,,,,,,,2021,INCOME,OTHER
venmo,86,2653,,,,91,,,566,87,,,2024,INCOME,OTHER
venmo,,,,312,564.99,564.99,10,131,497,0,0,246,2023,INCOME,OTHER
venmo,,,,,,,,,1091,,,,2022,INCOME,OTHER
Wage,4586,4452,4676,4546,6960,4640,4648,4648,4648,4648,7068,,2024,INCOME,WAGE
Wage,0,3205,4940,4940,4939.31,7410,4134,4508.46,4374,5182.6,7773.9,5182,2023,INCOME,WAGE
wage,1100,500,500,500,,4464.28,3681.26,,,743,,,2022,INCOME,WAGE
Wage,,,,,,,,,500,500,1100,500,2021,INCOME,WAGE
Water/Sewer/Trash,,,,,,,,,,,,,2024,EXPENSE,UTILITY
Water/Sewer/Trash,,,,,,,,,,,,,2023,EXPENSE,UTILITY
Water/Sewer/Trash,,,,,,,,,,,,,2022,EXPENSE,UTILITY
Water/Sewer/Trash,,,,,,,,,,91,,,2021,EXPENSE,UTILITY
